Iteration,ROI,Net Profit,Max Drawdown,Trades
34,-1.759743324793726,-175.9743324793726,6.302559855653871,6
35,-1.759743324793726,-175.9743324793726,7.0767778905805585,6
36,-1.759743324793726,-175.9743324793726,7.071976476528155,6
37,-1.759743324793708,-175.9743324793708,6.08281238434237,6
38,-1.759743324793726,-175.9743324793726,3.5419598056925676,6
39,-1.759743324793726,-175.9743324793726,3.5975337471044506,6
40,-1.759743324793726,-175.9743324793726,3.5419598056925676,6
41,-1.759743324793726,-175.9743324793726,6.302559855653871,6
42,-1.759743324793726,-175.9743324793726,7.0767778905805585,6
43,-1.759743324793726,-175.9743324793726,7.13982393658191,6
44,-1.759743324793708,-175.9743324793708,6.089254607753422,6
45,-1.759743324793726,-175.9743324793726,4.455723617851436,6
46,-1.759743324793726,-175.9743324793726,3.5419598056925676,6
47,-1.759743324793708,-175.9743324793708,6.8981821355299235,6
48,-1.759743324793708,-175.9743324793708,5.983345975298552,6
49,-1.759743324793726,-175.9743324793726,3.5975337471044506,6
50,-1.759743324793726,-175.9743324793726,4.387227580692561,6
51,-1.759743324793708,-175.9743324793708,6.835647163492464,6
52,-1.759743324793726,-175.9743324793726,4.387227580692561,6
53,-1.759743324793726,-175.9743324793726,6.302559855653871,6
54,-1.759743324793726,-175.9743324793726,4.345685683061476,6
55,-1.759743324793708,-175.9743324793708,4.31219342934717,6
56,-1.759743324793726,-175.9743324793726,4.387227580692561,6
57,-1.759743324793708,-175.9743324793708,6.775091091478467,6
58,-1.759743324793726,-175.9743324793726,7.208075958635309,6
59,-1.759743324793708,-175.9743324793708,6.775091091478467,6
60,-1.759743324793708,-175.9743324793708,6.07684410227074,6
61,-1.759743324793726,-175.9743324793726,3.5975337471044506,6
62,-1.759743324793708,-175.9743324793708,3.479939746013744,6
63,-1.759743324793726,-175.9743324793726,7.208075958635309,6
64,-1.759743324793726,-175.9743324793726,7.071976476528155,6
65,-1.759743324793708,-175.9743324793708,6.0237033923395655,6
66,-1.759743324793708,-175.9743324793708,6.08281238434237,6
67,-1.759743324793726,-175.9743324793726,6.294312146476441,6
68,-1.759743324793708,-175.9743324793708,5.983345975298552,6
69,-1.759743324793708,-175.9743324793708,3.5448508445253197,6
70,-1.759743324793708,-175.9743324793708,3.548706711958257,6
71,-1.759743324793726,-175.9743324793726,6.25214171348256,6
72,-1.759743324793708,-175.9743324793708,3.666116152942741,6
73,-1.759743324793708,-175.9743324793708,5.92167649079729,6
74,-1.759743324793726,-175.9743324793726,6.362808183635316,6
75,-1.759743324793726,-175.9743324793726,7.0767778905805585,6
76,-1.759743324793708,-175.9743324793708,6.835647163492464,6
77,-1.759743324793726,-175.9743324793726,6.294312146476441,6
78,-1.759743324793726,-175.9743324793726,6.302559855653871,6
79,-1.759743324793726,-175.9743324793726,7.208075958635309,6
80,-1.759743324793726,-175.9743324793726,3.610455842851443,6
81,-1.759743324793708,-175.9743324793708,6.835647163492464,6
82,-1.759743324793726,-175.9743324793726,3.610455842851443,6
83,-1.759743324793726,-175.9743324793726,4.455723617851436,6
84,-1.759743324793726,-175.9743324793726,4.455723617851436,6
85,-1.759743324793726,-175.9743324793726,3.5419598056925676,6
86,-1.759743324793708,-175.9743324793708,6.8981821355299235,6
87,-1.759743324793726,-175.9743324793726,3.5975337471044506,6
88,-1.759743324793726,-175.9743324793726,7.13982393658191,6
89,-1.759743324793726,-175.9743324793726,3.5975337471044506,6
90,-1.759743324793726,-175.9743324793726,3.5419598056925676,6
91,-1.759743324793726,-175.9743324793726,6.25214171348256,6
92,-1.759743324793708,-175.9743324793708,6.835647163492464,6
93,-1.759743324793708,-175.9743324793708,6.138913972785804,6
94,-1.759743324793708,-175.9743324793708,6.08281238434237,6
95,-1.759743324793726,-175.9743324793726,3.610455842851443,6
96,-1.759743324793726,-175.9743324793726,4.455723617851436,6
97,-1.759743324793726,-175.9743324793726,5.3383779013236925,6
98,-1.759743324793726,-175.9743324793726,4.455723617851436,6
99,-1.759743324793726,-175.9743324793726,7.208075958635309,6
100,-1.759743324793726,-175.9743324793726,3.5637488715079604,6
101,-1.759743324793726,-175.9743324793726,6.294312146476441,6
102,-1.759743324793708,-175.9743324793708,3.5976201157838656,6
103,-1.759743324793726,-175.9743324793726,7.208075958635309,6
104,-1.759743324793726,-175.9743324793726,7.13982393658191,6
